t(ms),x,y,z
64,-1.3030317860694117e-16,0.021393650749173876,-4.200010603571028
128,-4.876043320973313e-06,0.022371115447670384,-4.192533120212029
192,-3.588133990073366e-05,0.023141730556032164,-4.17691917919965
256,-6.782931803480031e-05,0.023778604139736197,-4.153439557866922
320,-0.00032800979071618565,0.02449513938095963,-4.128005596639937
384,-0.000939054634392242,0.025138559771905725,-4.102406903408464
448,-0.0019285121504261649,0.0256550265213281,-4.076819086388603
512,-0.0026415909027853084,0.02606333474408864,-4.051230251870812
576,-0.003545483069290518,0.026387281771722924,-4.025654095955808
640,-0.004912238055252578,0.026643865472138522,-4.000090172958818
704,-0.005824206777194316,0.026847685822965043,-3.9744922768019886
768,-0.006210023405390265,0.027011969148357618,-3.9488800442537375
832,-0.006058017642992921,0.02714328972808975,-3.923272507305652
896,-0.005270626005246056,0.027245630895650203,-3.8976969304780664
960,-0.003592876892129106,0.027326660803795977,-3.872192688025327
1024,-0.00188090405843324,0.027391550237376883,-3.8466826670070056
1088,-0.00015530320098234305,0.027444010617583718,-3.8211637291887843
1152,0.001128234058743167,0.027485411460132697,-3.7956258645754177
1216,0.0023109850860375653,0.02751844010193045,-3.7700766847324245
1280,0.0027237714842993288,0.02754499385518526,-3.74452298595902
1344,0.0030718999457707034,0.0275660092199653,-3.7189579010153646
1408,0.0035820869378335556,0.027583118815244993,-3.6933934857477975
1472,0.003977659386868903,0.027597030244044772,-3.667817467134263
1536,0.0045214061338176605,0.027607907993923896,-3.642225130779592
1600,0.005903499498632413,0.027616902360911806,-3.616687325146249
1664,0.007698776466066828,0.02762409976463085,-3.59118160092353
1728,0.010030020544890071,0.027628997207731015,-3.5657270160243004
1792,0.012226091453151695,0.027633181140123503,-3.540256393189453
1856,0.014480279171502441,0.027636871813485047,-3.5147829301029843
1920,0.016736293900751854,0.02763939948893469,-3.4892920398467595
1984,0.018457609772252533,0.027641829736808402,-3.4637575482215137
2048,0.019743873985831658,0.02764480684717481,-3.43819225868529
2112,0.020385428353982115,0.027647081440032317,-3.412616384020665
2176,0.020338947466675895,0.027647914766862736,-3.38705372503781
2240,0.020391309452664614,0.02764745439800638,-3.361484967601471
2304,0.02010839865441409,0.02764713043935005,-3.3359111927105953
2368,0.019502145875620113,0.027647775973031384,-3.310339517283177
2432,0.018388381906647155,0.027649233637439444,-3.2847934942855477
2496,0.01667638229515177,0.027649328879634366,-3.2592924185961563
2560,0.014465525736070742,0.027649505806869555,-3.233801444943079
2624,0.012790968682412073,0.02765203499080293,-3.208249342809285
2688,0.012211482815575948,0.027654073884204503,-3.18269863731045
2752,0.012278298122581199,0.02765136002178134,-3.1571455650971556
2816,0.012061681670337075,0.027651875974409008,-3.1315848281360488
2880,0.012479986723245821,0.027653045451735605,-3.105987540461862
2944,0.012233265226592726,0.027651150910533093,-3.080359866778814
3008,0.01040271011191743,0.02765154733143064,-3.0548873926218594
3072,0.007661516684554648,0.027651655261883176,-3.0294738636222722
3136,0.005666940419136021,0.02765133645419511,-3.0039863914342915
3200,0.0040106630963832,0.027654770465864106,-2.9784663140812935
3264,0.002711091307110852,0.02765221992743292,-2.9529331059474617
3328,0.002198229818614326,0.027651161808436926,-2.927390350659407
3392,0.0013883893688260672,0.027650867318411317,-2.901846704776217
3456,0.0002977916494084216,0.027650003766417804,-2.876303241449685
3520,-0.0008238222171021987,0.027650668002454387,-2.8507295328178173
3584,-0.0013507187058641556,0.027653521756551266,-2.82513060400599
3648,-0.0012423870876947384,0.027653971487035665,-2.7995397800095416
