-0.84,0.26,0.37,10,0,0,0,0,0,0,0,50,,,,
-0.776,0.26,0.37,9.89,0.000303,-0.0855,0.00332,-0.0308,1.6,0.863,-1.18,50,,,,
-0.713,0.259,0.37,9.78,-0.00427,-0.133,0.0257,-0.0458,3.2,0.0621,-0.289,50,,,,
-0.651,0.258,0.37,9.67,-0.0115,-0.164,0.0289,-0.0711,4.8,0.492,-0.91,50,,,,
-0.59,0.257,0.37,9.57,-0.0226,-0.17,0.0417,-0.0879,6.4,0.0463,-0.421,49.9,,,,
-0.529,0.256,0.37,9.47,-0.0357,-0.165,0.0434,-0.11,7.99,0.258,-0.756,49.9,,,,
-0.468,0.255,0.369,9.37,-0.0513,-0.144,0.0499,-0.127,9.59,0.00228,-0.477,49.9,,,,
-0.409,0.254,0.369,9.28,-0.0679,-0.115,0.0498,-0.147,11.2,0.103,-0.661,49.9,,,,
-0.35,0.253,0.369,9.18,-0.0856,-0.0772,0.052,-0.164,12.8,-0.0487,-0.495,49.8,,,,
-0.291,0.253,0.368,9.08,-0.103,-0.0344,0.0501,-0.183,14.4,-0.00469,-0.597,49.8,,,,
-0.233,0.253,0.367,8.98,-0.121,0.0132,0.0493,-0.2,16,-0.098,-0.493,49.8,,,,
-0.176,0.253,0.366,8.88,-0.138,0.0631,0.0457,-0.217,17.6,-0.0827,-0.549,49.8,,,,
-0.12,0.254,0.365,8.78,-0.154,0.115,0.0426,-0.233,19.2,-0.142,-0.481,49.7,,,,
-0.0638,0.255,0.364,8.68,-0.168,0.167,0.0377,-0.249,20.7,-0.141,-0.511,49.7,,,,
-0.00862,0.256,0.363,8.58,-0.181,0.219,0.0328,-0.264,22.3,-0.181,-0.464,49.7,,,,
0.0459,0.258,0.362,8.47,-0.192,0.269,0.0267,-0.28,23.9,-0.187,-0.478,49.7,,,,
0.0998,0.259,0.361,8.37,-0.201,0.318,0.0204,-0.294,25.5,-0.215,-0.444,49.6,,,,
0.153,0.262,0.359,8.26,-0.207,0.365,0.0133,-0.309,27.1,-0.224,-0.449,49.6,,,,
0.206,0.264,0.358,8.16,-0.211,0.408,0.00593,-0.323,28.7,-0.244,-0.422,49.6,,,,
0.257,0.267,0.357,8.05,-0.212,0.449,-0.00215,-0.336,30.3,-0.254,-0.422,49.6,,,,
0.309,0.27,0.355,7.94,-0.21,0.486,-0.0104,-0.349,31.9,-0.269,-0.4,49.6,,,,
0.359,0.273,0.354,7.83,-0.205,0.519,-0.0193,-0.362,33.5,-0.279,-0.397,49.5,,,,
0.409,0.276,0.353,7.73,-0.198,0.548,-0.0283,-0.374,35,-0.291,-0.379,49.5,,,,
0.458,0.28,0.352,7.62,-0.187,0.573,-0.0378,-0.386,36.6,-0.3,-0.373,49.5,,,,
0.506,0.284,0.35,7.51,-0.174,0.594,-0.0476,-0.398,38.2,-0.31,-0.358,49.5,,,,
0.554,0.288,0.349,7.4,-0.158,0.61,-0.0577,-0.409,39.8,-0.319,-0.351,49.5,,,,
